inputs,targets
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): літератор",літераторка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): насмішник",насмішниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): паралімпієць",паралімпійка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Американські психологи ( Г . Шаффер , П . Емерсон ) , вивчаючи реакції 37 новонароджених на фізичний контакт , виокремили немовлят , які прагнуть обіймів , одержують задоволення від близького фізичного контакту , і тих , що уникають обіймів , опираються контакту , виявляючи фізичне напруження .","Американські психологині ( Г . Шаффер , П . Емерсон ) , вивчаючи реакції 37 новонароджених на фізичний контакт , виокремили немовлят , які прагнуть обіймів , одержують задоволення від близького фізичного контакту , і тих , що уникають обіймів , опираються контакту , виявляючи фізичне напруження ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Мінтранс розірвав контракт із директоркою.",Мінтранс розірвав контракт із директором.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): А до того ж , аргументом у відмові служило й те , що вже є матеріали звідти , котрі підготувала наша журналістка Ольга Луканова ( теперішня голова незалежної медіапрофспілки ) .
","А до того ж , аргументом у відмові служило й те , що вже є матеріали звідти , котрі підготував наш журналіст Юрій Луканов ( теперішній голова незалежної медіапрофспілки ) ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): незнайомка",незнайомець
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Будівництво відбувається на ділянці площею 0,33 га, яка з 2017 року належить ТОВ «Расмус», що пов'язане із нардепом Вадимом Столаром і головою правління ПАТ «ХК «Київміськбуд» Ігорем Кушніром.","Будівництво відбувається на ділянці площею 0,33 га, яка з 2017 року належить ТОВ «Расмус», що пов'язане із нардепкою Валентиною Столаровою і головою правління ПАТ «ХК «Київміськбуд» Ігорем Кушніром."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновниками останнього є кияни Олександр Власенко і Людмила Найденова.",Засновницями останнього є киянки Віра Власенко і Інна Найденова.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): шліфувальник",шліфувальниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): репетиторка",репетитор
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Після скарг дочки на здоровʼя, лікар відвела їх до кабінету для проведення ультразвукової допплерографії сосудів, на дверях лабораторії не було жодних назв, оголошень або прейскурантів.","Після скарг дочки на здоровʼя, лікарка відвела їх до кабінету для проведення ультразвукової допплерографії сосудів, на дверях лабораторії не було жодних назв, оголошень або прейскурантів."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): олігарх",олігархиня
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): намісник",намісниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): політолог",політологиня
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Керівником та засновником фірми є донеччанин Сергій Аверін.",Керівницею та засновницею фірми є донеччанка Ольга Аверіна.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): щебетун","щебетунка, щебетуха"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Зокрема , лінгвістки , психологині , педагогині , культурологині , філософині ХІХ-ХХ ст . незмірно поглибили розуміння рідної мови як носія всієї історичної спадщини народу , всього його духовного досвіду , його світогляду , його способу мислити й відчувати ...","Зокрема , лінгвісти , психологи , педагоги , культурологи , філософи ХІХ-ХХ ст . незмірно поглибили розуміння рідної мови як носія всієї історичної спадщини народу , всього його духовного досвіду , його світогляду , його способу мислити й відчувати ..."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): вірянка",вірянин
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): невільниця",невільник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Проте директор «КЗЕТ» таки підтвердив, що підприємство купує в Чехії вживані вагони, проводить їм певний ремонт, а потім повертає «Київпастрансу».","Проте директорка «КЗЕТ» таки підтвердила, що підприємство купує в Чехії вживані вагони, проводить їм певний ремонт, а потім повертає «Київпастрансу»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Згідно із ЗУ «Про публічні закупівлі», дані учасники є пов'язаними особами, оскільки одна і та ж особа є їх засновницею і володіє більше 25% у статутному капіталі обох підприємств.","Згідно із ЗУ «Про публічні закупівлі», дані учасники є пов'язаними особами, оскільки одна і та ж особа є їх засновником і володіє більше 25% у статутному капіталі обох підприємств."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): економіст",економістка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): дипломатка",дипломат
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Таксистка Наталя Тахненко , примічаючи у мене птахів , одразу міниться на виду .","Таксист Сергій Тахненко , примічаючи у мене птахів , одразу міниться на виду ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): аптекар",аптекарка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): корейка",кореєць
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Отож радить милостині мандрованцям не подавати , бо саме через них про черниць-законниць у суспільстві починають думати погано , адже « монастирям безчестя накине вона досить » .","Отож радить милостині мандрованцям не подавати , бо саме через них про ченців-законників у суспільстві починають думати погано , адже « монастирям безчестя накине він досить » ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Але для історії побиту учителів-ченців документ значимий : вони не мали на зиму шуб чи кожухів , а дехто й чобіт .","Але для історії побиту учительок-черниць документ значимий : вони не мали на зиму шуб чи кожухів , а дехто й чобіт ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Київська фірма «Ілатанмед» зареєстрована на Ольгу Писану, відому як бухгалтер ДП «Спеціальне конструкторсько-технологічне бюро з дослідним виробництвом» Інституту фізики напівпровідників та ТОВ «Фірма Крас».","Київська фірма «Ілатанмед» зареєстрована на Ольгу Писану, відому як бухгалтерка ДП «Спеціальне конструкторсько-технологічне бюро з дослідним виробництвом» Інституту фізики напівпровідників та ТОВ «Фірма Крас»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Виведені у 1860 році на півдні України , ці птахи полюбилися жителям Донбасу , а особливо шахтаркам .","Виведені у 1860 році на півдні України , ці птахи полюбилися жителям Донбасу , а особливо шахтарям ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): оцінювачка",оцінювач
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): дзвонарка",дзвонар
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): офіціант",офіціантка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Наприклад, Остапенко називали водійкою Анісімових, а Котляров виявився їхнім родичем, що підтвердив брат Євгена Анісімова – В'ячеслав.","Наприклад, Остапенка називали водієм Анісімових, а Котляров виявився їхнім родичем, що підтвердив брат Євгена Анісімова – В'ячеслав."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): імітатор",імітаторка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Тому 14 липня 2015 року депутати сільради відмовили у наданні такого дозволу і погодженні передачі у власність земельної ділянки Подольцю.",Тому 14 липня 2015 року депутатки сільради відмовили у наданні такого дозволу і погодженні передачі у власність земельної ділянки Подолець.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): товаришка",товариш
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Сагайдак відома як керівниця галереї «Естамп», чиєю власницею є Валентина Федчишина, яку називають експерткою по антикваріату.","Сагайдак відома як керівник галереї «Естамп», чиїм власником є Володимир Федчишин, якого називають експертом по антикваріату."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): « Ще недавно велотрек існував тільки у мріях ентузіастів велоруху , а вже зараз він стрімко набирає реалістичних контурів , — радіє голова Шевченківської райдержадміністрації Любов Гаряга . — Ми сподіваємося , що вже за півтора-два місяці на велотреку зможуть тренуватися спортсмени , а проводити змагання тут можна буде вже з наступної весни .
","« Ще недавно велотрек існував тільки у мріях ентузіастів велоруху , а вже зараз він стрімко набирає реалістичних контурів , — радіє голова Шевченківської райдержадміністрації Олег Гаряга . — Ми сподіваємося , що вже за півтора-два місяці на велотреку зможуть тренуватися спортсмени , а проводити змагання тут можна буде вже з наступної весни ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Правда , те , що у черницях є вічна неволя ,","Правда , те , що у ченцях є вічна неволя ,"
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): користувач",користувачка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): гастролер",гастролерка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Після її обрання президенткою України у 2014 році співвласники фірми отримали призначення у владу.",Після його обрання президентом України у 2014 році співвласники фірми отримали призначення у владу.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): фасилітаторка",фасилітатор
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Крім них, у складі засновниць раніше була Марія Рокашевич.","Крім них, у складі засновників раніше був Єгор Рокашевич."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): підприємець",підприємиця
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Мегатрейд-Схід» і Довгополова є співзасновницями донецького підприємства «Дорожньо-ремонтно-будівельне об'єднання 1».",«Мегатрейд-Схід» і Довгополов є співзасновниками донецького підприємства «Дорожньо-ремонтно-будівельне об'єднання 1».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Восени , коли у Києві побили студентів і зібрався величезний майдан , він вирішив звільнитися з війська , щоби долучитися до майданівців .","Восени , коли у Києві побили студенток і зібрався величезний майдан , він вирішив звільнитися з війська , щоби долучитися до майданівців ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): акробатка",акробат
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): невропатолог",невропатологиня
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): мемуаристка",мемуарист
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директор проектно-будівельної фірми «Основа» Юрій Карпенко вважає, що проти турецької фірми варто провести в Україні спеціальне розслідування.","Директорка проектно-будівельної фірми «Основа» Олена Карпенко вважає, що проти турецької фірми варто провести в Україні спеціальне розслідування."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Після введення в експлуатацію забудовниця мала передати КМДА 8 квартир, в обмін на оренду ділянки, а вже місцева влада могла б надати це житло суддям.","Після введення в експлуатацію забудовник мав передати КМДА 8 квартир, в обмін на оренду ділянки, а вже місцева влада могла б надати це житло суддям."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): першовідкривачка",першовідкривач
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Сварився з лікаркою .","Сварився з лікарем .
"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Голова його впала набік , наче отаман Шуліка заснув .","Голова її впала набік , наче отаманка Шуліка заснула ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): фарисей",фарисейка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): концертмейстерка",концертмейстер
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): дурисвіт",дурисвітка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Пан Бень , цей достойний урядник і відданий слуга магістрату , щойно виконавши того дня свій обов’язок у Високому Замку та гарненько виспавшись у стайні , поніс свій опис у магістрат .","Пані Бень , ця достойна урядниця і віддана слуга магістрату , щойно виконавши того дня свій обов’язок у Високому Замку та гарненько виспавшись у стайні , понесла свій опис у магістрат ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Вдячність свідомим громадянам, що досконально вивчають портал держзакупівель і оприлюднюють підозрілу інформацію, висловив віце-премʼєр – міністр фінансів РФ Олексій Кудрін.","Вдячність свідомим громадянам, що досконально вивчають портал держзакупівель і оприлюднюють підозрілу інформацію, висловила віце-премʼєрка – міністерка фінансів РФ Наталія Кудріна."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): двірник",двірниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): генетикиня",генетик
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): На виборах до парламенту вона в 2014 р. була довіреною особою Ірини Близнюк, дочки Олександра Близнюка – екс-очільниці Донецької області, а в 1996-1997 роках – мера Краматорська.","На виборах до парламенту він в 2014 р. був довіреною особою Сергія Близнюка, сина Анатолія Близнюка – екс-очільника Донецької області, а в 1996-1997 роках – мера Краматорська."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Як наслідок , якщо у судді більшість справ ( > 50 % загальної кількості справ ) були скасовані ( з ухваленням нового рішення ) або змінені , то це може слугувати додатковою підставою для відводу судді .","Як наслідок , якщо у судді більшість справ ( > 50 % загальної кількості справ ) були скасовані ( з ухваленням нового рішення ) або змінені , то це може слугувати додатковою підставою для відводу судді ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Міністерство охорони здоров'я України впроваджує Всеукраїнський електронний реєстр пацієнтів ( ЕРП ) , після чого паперові медичні картки стануть історією , заявила заступниця міністра охорони здоров'я Валентина БОГАЧОВА .","Міністерство охорони здоров'я України впроваджує Всеукраїнський електронний реєстр пацієнтів ( ЕРП ) , після чого паперові медичні картки стануть історією , заявив заступник міністра охорони здоров'я Роман БОГАЧОВ ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Найважчим випробуванням для всіх моїх колег було матвійчукове правління на посаді голови облдержадміністрації .",Найважчим випробуванням для всіх моїх колег було матвійчукове правління на посаді голови облдержадміністрації .
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): засновник",засновниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): консерватор",консерваторка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У вересні 2017 року Павленко під час спілкування із приватним підприємцем повідомила останньому, що він систематично повинен надавати їй неправомірну вигоду.","У вересні 2017 року Павленко під час спілкування із приватною підприємицею повідомив останній, що вона систематично повинна надавати йому неправомірну вигоду."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Хоча іноземні будівельники отримують удесятеро вищу платню .","Хоча іноземні будівельниці отримують удесятеро вищу платню .
"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): З вересня керівницею фірми є Ольга Парсаданова, яка також є співвласницею ТОВ «Укрградінвест» та ТОВ «Медіапростір»","З вересня керівником фірми є Ольга Парсаданова, яка також є співвласницею ТОВ «Укрградінвест» та ТОВ «Медіапростір»"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Інший вірш ( « Про інокинь , нас уже останніх , які , безневинно терплять і по вині численні напасті , та скорботи , та гоніння , та наклепи , та ненависті , та всілякі озлоблення » ) позбавлений конкретики , у нім лише загальна констатація .","Інший вірш ( « Про іноків , нас уже останніх , які , безневинно терплять і по вині численні напасті , та скорботи , та гоніння , та наклепи , та ненависті , та всілякі озлоблення » ) позбавлений конкретики , у нім лише загальна констатація ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Як бачимо , вірш виразно мізантропічний , але створено його енергійним образним словом , тут і там блискоче яскрава метафора , часом по-бароковому ускладнена — це вже не ялові , на шаблонах будовані , церковні піснеспіви , яких , до речі , немало створив і цей поет .","Як бачимо , вірш виразно мізантропічний , але створено його енергійним образним словом , тут і там блискоче яскрава метафора , часом по-бароковому ускладнена — це вже не ялові , на шаблонах будовані , церковні піснеспіви , яких , до речі , немало створила і ця поетеса ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): француз",французка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Зберігся щодо цього лист В . Ясинського до Л . Барановича , в якому ректор сам вельми уболівав за цю трагедію .","Зберігся щодо цього лист В . Ясинської до Л . Барановича , в якому ректорка сама вельми уболівала за цю трагедію ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Марія Івахів є співвласницею групи «Континіум», лідером якої є нардеп Ігор Єрємєєв.","Степан Івахів є співвласником групи «Континіум», лідером якої є нардеп Ігор Єрємєєв."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Згідно із ЗУ «Про публічні закупівлі», дані учасники є пов'язаними особами, оскільки одна і та ж особа є їх засновницею і володіє більше 25% у статутному капіталі обох підприємств.","Згідно із ЗУ «Про публічні закупівлі», дані учасники є пов'язаними особами, оскільки одна і та ж особа є їх засновником і володіє більше 25% у статутному капіталі обох підприємств."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Учительки ж обстоюють приватні житейські інтереси , часом і обскурантно , не враховуючи , що після воєнних розрухів академія перебувала у важкому фінансовому стані .","Учителі ж обстоюють приватні житейські інтереси , часом і обскурантно , не враховуючи , що після воєнних розрухів академія перебувала у важкому фінансовому стані ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У результаті двоє будівельників загинули, ще шестеро отримали поранення.","У результаті дві будівельниці загинули, ще шестеро отримали поранення."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Надалі засновниками компанії ставали лондонська компанія «Magnat Multinational Ltd» (засновником був Богдан Мітько, директором – новозеландець Ян Тейлор), а також Віталій Малюк і Наталія Завальна.","Надалі засновницями компанії ставали лондонська компанія «Magnat Multinational Ltd» (засновницею була Олена Мітько, директоркою – новозеландка Яна Тейлор), а також Едуард Малюк і Наталія Завальна."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): управителька",управитель
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Це мій обов’язок як людини і як журналістки .",Це мій обов’язок як людини і як журналіста .
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): мисливець",мисливиця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): емпіристка",емпірист
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Міською головою Лиман є Маргарита Цимідан, яка в 2015 році перемогла на виборах від партії «Опозиційний блок».","Міським головою Лимана є Петро Цимідан, який в 2015 році переміг на виборах від партії «Опозиційний блок»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): дебютантка",дебютант
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): грабіжник",грабіжниця
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновницями організації значаться Наталія Авербух, Євгенія Віщунова, Саманта Керзнер, відома як почесна консулка України в Ізраїлі.","Засновниками організації значаться Вадим Авербух, Андрій Віщунов, Офер Керзнер, відомий як почесний консул України в Ізраїлі."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Механік шпарко вдихнув , заплющив очі .","Механікиня шпарко вдихнула , заплющила очі ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд наклав арешт на житловий будинок, що за даними слідства належить голові Всеукраїнської профспілки працівників галузі земельних відносин України Дмитру Філіпчуку, затриманому за вимагання $100 тис.","Суд наклав арешт на житловий будинок, що за даними слідства належить голові Всеукраїнської профспілки працівників галузі земельних відносин України Марині Філіпчук, затриманій за вимагання $100 тис."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Виявилося , що він , як і чимало молодих журналістів у редакції , був уже одруженим .","Виявилося , що вона , як і чимало молодих журналісток у редакції , була вже одруженою ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Іде до кіоску « Преса » , а операційна медсестра з двадцятирічним стажем застигає біля переходу , робить вигляд , що ніяк не може знайти у сумці місця дорогоцінній флешці .","Іде до кіоску « Преса » , а операційний медбрат з двадцятирічним стажем застигає біля переходу , робить вигляд , що ніяк не може знайти у сумці місця дорогоцінній флешці ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За версією правоохоронців, до чиновниці звернувся представник ФОПа, який хотів зареєструватися платником єдиного податку заднім числом і отримати довідки.","За версією правоохоронниць, до чиновника звернувся представник ФОПа, який хотів зареєструватися платником єдиного податку заднім числом і отримати довідки."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Звіт АМКУ від 2 листопада про виконання рітейлерами його рекомендацій стосовно торгівельних надбавок свідчить про те, що Комітет закриє розслідування подорожчання продуктів на початку епідемії COVID-19 без штрафів для торгівельних мереж.","Звіт АМКУ від 2 листопада про виконання рітейлерками її рекомендацій стосовно торгівельних надбавок свідчить про те, що Комітет закриє розслідування подорожчання продуктів на початку епідемії COVID-19 без штрафів для торгівельних мереж."
