original_sentence,orig_sent_id,changed_sentence,changed_sent_id,original_file_name,orig_ann,changed_ann
"Так, річний дохід підприємиці Козименко становив 662 тис. грн, а РВПРГ – 2,56 млн грн.",9,"Так, річний дохід підприємця Козименка становив 662 тис. грн, а РВПРГ – 2,56 млн грн.",9,2ff4fbe3fcc4.txt,"{'T48': ('підприємиці', 'JOB')}","{'T48': ('підприємця', 'JOB')}"
До призначення з липня 2015 року обіймала посаду начальника відділу розслідувань недобросовісної конкуренції невиробничої сфери Управління розслідувань Центрального апарату.,13,До призначення з липня 2015 року обіймала посаду начальниці відділу розслідувань недобросовісної конкуренції невиробничої сфери Управління розслідувань Центрального апарату.,13,2ff4fbe3fcc4.txt,"{'T63': ('начальника відділу розслідувань недобросовісної конкуренції невиробничої сфери', 'JOB')}","{'T63': ('начальниці відділу розслідувань недобросовісної конкуренції невиробничої сфери', 'JOB')}"
"Колишній заступник начальника відділу досліджень і розслідувань Луганського обласного територіального відділення Антимонопольного комітету України Андрій Павленко уклав угоду з прокурором і отримав 18,7 тис грн штрафу за вимагання неправомірної вигоди від приватного підприємця.",0,"Колишня заступниця начальника відділу досліджень і розслідувань Луганського обласного територіального відділення Антимонопольного комітету України Юлія Павленко уклала угоду з прокуроркою і отримала 18,7 тис грн штрафу за вимагання неправомірної вигоди від приватної підприємниці.",0,36aa8022709f.txt,"{'T1': ('заступник начальника', 'JOB'), 'T4': ('прокурором', 'JOB'), 'T6': ('приватного підприємця', 'JOB')}","{'T1': ('заступниця начальника', 'JOB'), 'T4': ('прокуроркою', 'JOB'), 'T6': ('приватної підприємниці', 'JOB')}"
"У вересні 2017 року Павленко під час спілкування із приватною підприємицею повідомив останній, що вона систематично повинна надавати йому неправомірну вигоду.",2,"У вересні 2017 року Павленко під час спілкування із приватним підприємцем повідомила останньому, що він систематично повинен надавати їй неправомірну вигоду.",2,36aa8022709f.txt,"{'T11': ('приватною підприємицею', 'JOB')}","{'T11': ('приватним підприємцем', 'JOB')}"
Підприємиця звернулася до правоохоронних органів із заявою про вчинення відносно неї кримінального правопорушення.,4,Підприємець звернувся до правоохоронних органів із заявою про вчинення відносно нього кримінального правопорушення.,4,36aa8022709f.txt,"{'T12': ('Підприємиця', 'JOB')}","{'T12': ('Підприємець', 'JOB')}"
"У подальшому на адресу Луганського обласного тервідділення АМКУ надійшли два листи від прокуратури Луганської області від 14.02.2018, лист народного депутата від 19.02.2018 та лист від Лисичанського ВП ГУ Нацполіції в Луганській області від 21.03.2018 щодо можливих порушень законодавства про захист економічної конкуренції суб'єктами підприємницької діяльності, а саме: семи ФОПів і ПП «Продгрупсервіс», які брали участь у тендерах щодо закупівлі продукції комунальними установами Луганської області.",5,"У подальшому на адресу Луганського обласного тервідділення АМКУ надійшли два листи від прокуратури Луганської області від 14.02.2018, лист народної депутатки від 19.02.2018 та лист від Лисичанського ВП ГУ Нацполіції в Луганській області від 21.03.2018 щодо можливих порушень законодавства про захист економічної конкуренції суб'єктами підприємницької діяльності, а саме: семи ФОПів і ПП «Продгрупсервіс», які брали участь у тендерах щодо закупівлі продукції комунальними установами Луганської області.",5,36aa8022709f.txt,"{'T16': ('народного депутата', 'JOB')}","{'T16': ('народної депутатки', 'JOB')}"
Усі вони орендують складські приміщення у вказаної підприємиці.,6,Усі вони орендують складські приміщення у вказаного підприємця.,6,36aa8022709f.txt,"{'T22': ('підприємиці', 'JOB')}","{'T22': ('підприємця', 'JOB')}"
"Дізнавшись про вказані листи, Павленко неодноразово зустрічався з підприємницею і запропонував дати йому 40 тис грн за вплив на в. о. голови Луганського тервідділення, яка під впливом Павленка мала повідомити нардепу і правоохоронцям, що у діях ФОПів і «Продгрупсервісу» відсутні ознаки порушення законодавства про захист економічної конкуренції.",8,"Дізнавшись про вказані листи, Павленко неодноразово зустрічалася з підприємцем і запропонувала дати їй 40 тис грн за вплив на в. о. голови Луганського тервідділення, який під впливом Павленка мав повідомити нардепці і правоохоронницям, що у діях ФОПів і «Продгрупсервісу» відсутні ознаки порушення законодавства про захист економічної конкуренції.",8,36aa8022709f.txt,"{'T25': ('підприємницею', 'JOB'), 'T27': ('в. о. голови', 'JOB'), 'T30': ('нардепу', 'JOB'), 'T31': ('правоохоронцям', 'JOB')}","{'T25': ('підприємцем', 'JOB'), 'T27': ('в. о. голови', 'JOB'), 'T30': ('нардепці', 'JOB'), 'T31': ('правоохоронницям', 'JOB')}"
"Дії Павленка кваліфіковано за ч. 2 ст. 369-2 КК, як надання пропозиції здійснити вплив на прийняття рішення керівником Луганського тервідділення.",9,"Дії Павленко кваліфіковано за ч. 2 ст. 369-2 КК, як надання пропозиції здійснити вплив на прийняття рішення керівницею Луганського тервідділення.",9,36aa8022709f.txt,"{'T35': ('керівником', 'JOB')}","{'T35': ('керівницею', 'JOB')}"
У вересні військовий прокурор Луганського гарнізону і Павленко уклали угоду про визнання винуватості останнім.,10,У вересні військова прокурорка Луганського гарнізону і Павленко уклали угоду про визнання винуватості останньою.,10,36aa8022709f.txt,"{'T38': ('військовий прокурор', 'JOB')}","{'T38': ('військова прокурорка', 'JOB')}"
"Григорій Стерпул відомий як бізнес-партнер президента регіональної Торгово-промислової палати Миколаївської області Ігоря Катвалюка, який раніше був заступником голови Миколаївської облдержадміністрації.",9,"Галина Стерпул відома як бізнес-партнерка президентки регіональної Торгово-промислової палати Миколаївської області Олександри Катвалюка, яка раніше була заступницею голови Миколаївської облдержадміністрації.",9,4671f9337340.txt,"{'T25': ('бізнес-партнер', 'JOB'), 'T26': ('президента', 'JOB'), 'T29': ('заступником голови', 'JOB')}","{'T25': ('бізнес-партнерка', 'JOB'), 'T26': ('президентки', 'JOB'), 'T29': ('заступницею голови', 'JOB')}"
"Однак у інтерв'ю місцевим ЗМІ Стерпул і Катвалюк заявляють, що вони не є бізнес-партнерами.",11,"Однак у інтерв'ю місцевим ЗМІ Стерпул і Катвалюк заявляють, що вони не є бізнес-партнерками.",11,4671f9337340.txt,"{'T37': ('бізнес-партнерами', 'JOB')}","{'T37': ('бізнес-партнерками', 'JOB')}"
Було підготовлено звернення до губернатора області Миколи Круглова і тодішнього віце-премʼєр міністра Бориса Колеснікова із прохання виділити субвенцію для співфінансування будівництва мосту в обсязі 50% вартості.,15,Було підготовлено звернення до губернаторки області Ольги Круглової і тодішнього віце-премʼєр міністра Григорія Колеснікова із прохання виділити субвенцію для співфінансування будівництва мосту в обсязі 50% вартості.,15,4671f9337340.txt,"{'T45': ('губернатора', 'JOB'), 'T47': (""віце-премʼєр міністра"", 'JOB')}","{'T45': ('губернаторки', 'JOB'), 'T47': (""віце-премʼєр міністра"", 'JOB')}"
"Одноосібним засновником «Полігон-Елітсервіс» є Труфанова Лілія Сергіївна, а директором – Ратко Сергій Георгіович.",5,"Одноосібною засновницею «Полігон-Елітсервіс» є Труфанова Лілія Сергіївна, а директором – Олександр Сергій Георгіович.",5,db4996034aa6.txt,"{'T12': ('засновником', 'JOB'), 'T15': ('директором', 'JOB')}","{'T12': ('засновницею', 'JOB'), 'T15': ('директором', 'JOB')}"
"За даними «Дзеркала тижня», наступні схеми продовжують працювати у Кабінеті міністрів після понад півроку роботи Арсенія Яценюка, і які має знищити новопризначений премʼєр-міністр Арсеній Яценюк («Народний фронт»):",0,"За даними «Дзеркала тижня», наступні схеми продовжують працювати у Кабінеті міністрів після понад півроку роботи Оксани Яценюк, і які має знищити новопризначена премʼєр-міністерка Оксана Яценюк («Народний фронт»):",0,f2653a1e387d.txt,"{'T5': (""премʼєр-міністр"", 'JOB')}","{'T5': (""премʼєр-міністерка"", 'JOB')}"
"Правоохоронці підозрюють посадових осіб управління капітального будівництва Херсонської міськради, Департаменту ЖКГ та ТОВ «Сервісбуд-Інвест» у протиправних діях під час освоєння бюджетних коштів, витрачених на ремонт будинків.",0,"Правоохоронниці підозрюють посадових осіб управління капітального будівництва Херсонської міськради, Департаменту ЖКГ та ТОВ «Сервісбуд-Інвест» у протиправних діях під час освоєння бюджетних коштів, витрачених на ремонт будинків.",0,7faf035614c1.txt,"{'T1': ('Правоохоронці', 'JOB')}","{'T1': ('Правоохоронниці', 'JOB')}"
"Слідчі звернулись до суду з клопотанням надати доступ до банківських рахунків «Сервісбуд-Інвест» та фізичних осіб, яким фірма перерахувала кошти.",7,"Слідчі звернулись до суду з клопотанням надати доступ до банківських рахунків «Сервісбуд-Інвест» та фізичних осіб, яким фірма перерахувала кошти.",7,7faf035614c1.txt,"{'T19': ('Слідчі', 'JOB')}","{'T19': ('Слідчі', 'JOB')}"
"Керівником є Віктор Гуцал, засновник Євгеній Кондратюк, який також є співвласником ТОВ «Юг спец профіль» та директором ТОВ «Херсон спец профіль».",10,"Керівницею є Ольга Гуцал, засновницею Євгенія Кондратюк, яка також є співвласницею ТОВ «Юг спец профіль» та директоркою ТОВ «Херсон спец профіль».",10,7faf035614c1.txt,"{'T24': ('Керівником', 'JOB'), 'T26': ('засновник', 'JOB'), 'T28': ('співвласником', 'JOB'), 'T30': ('директором', 'JOB')}","{'T24': ('Керівницею', 'JOB'), 'T26': ('засновницею', 'JOB'), 'T28': ('співвласницею', 'JOB'), 'T30': ('директоркою', 'JOB')}"
Власницею останньої фірми є Олександра Путілова.,11,Власницею останньої фірми є Єфросинія Путілова.,11,7faf035614c1.txt,"{'T32': ('Власницею', 'JOB')}","{'T32': ('Власницею', 'JOB')}"
Це двоюрідна сестра колишнього голови Херсонської облради Андрія Путілова.,12,Це двоюрідний брат колишньої голови Херсонської облради Людмили Путілової.,12,7faf035614c1.txt,"{'T34': ('голови', 'JOB')}","{'T34': ('голови', 'JOB')}"
"Його було обрано у 2015 році, а у вересні 2016 року він пішов з посади після того, як депутати облради відправили його у відставку.",13,"Її було обрано у 2015 році, а у вересні 2016 року вона пішла з посади після того, як депутати облради відправили її у відставку.",13,7faf035614c1.txt,"{'T39': ('депутати облради', 'JOB')}","{'T39': ('депутати облради', 'JOB')}"
"Засновниками ТОВ «Північне Причорномор'я» є Пантелій Міхайлуце та одеський бізнесмен Дмитро Шкрабов, що відомий як чоловік «одеської Барбі».",11,"Засновницями ТОВ «Північне Причорномор'я» є Лариса Міхайлуце та одеська бізнесменка Олена Шкрабова, що відома як чоловік «одеської Барбі».",11,30856acf29fc.txt,"{'T37': ('Засновниками', 'JOB'), 'T40': ('бізнесмен', 'JOB')}","{'T37': ('Засновницями', 'JOB'), 'T40': ('бізнесменка', 'JOB')}"
Директор фірми – Олександр Стефанов.,12,Директорка фірми – Марія Стефанова.,12,30856acf29fc.txt,"{'T43': ('Директор', 'JOB')}","{'T43': ('Директорка', 'JOB')}"
"Засновниками ТОВ «Главбуд», яке з 2007 року перебуває у стані припинення, є той же Пантелій Міхайлуце та Людмила Шкрабова.",13,"Засновницями ТОВ «Главбуд», яке з 2007 року перебуває у стані припинення, є та ж Олена Міхайлуце та Людмила Шкрабова.",13,30856acf29fc.txt,"{'T45': ('Засновниками', 'JOB')}","{'T45': ('Засновницями', 'JOB')}"
"ТОВ «Компанія «Зевс ЛТД», яка постачала м'ясо керівникам ДНР, отримувала фінансування з Росії.",0,"ТОВ «Компанія «Зевс ЛТД», яка постачала м'ясо керівницям ДНР, отримувала фінансування з Росії.",0,8806c823dee8.txt,"{'T2': ('керівникам', 'JOB')}","{'T2': ('керівницям', 'JOB')}"
"Слідчі встановили, що у серпні-грудні 2015 року «Компанія «Зевс ЛТД» поставила на користь підприємств, підконтрольних терористичній організації ДНР, м'яса та м'ясопродукції на 1,5 тис. тонн на суму близько 100 млн грн.",2,"Слідчі встановили, що у серпні-грудні 2015 року «Компанія «Зевс ЛТД» поставила на користь підприємств, підконтрольних терористичній організації ДНР, м'яса та м'ясопродукції на 1,5 тис. тонн на суму близько 100 млн грн.",2,8806c823dee8.txt,"{'T6': ('Слідчі', 'JOB')}","{'T6': ('Слідчі', 'JOB')}"
"Отримувачів продукції контролювали бойовик 2 батальйону 2 бригади НВФ «Оплот» ДНР, начальник підрозділу розвідки із позивним «Кусок», міністр економічного розвитку ДНР, його заступник та ін.",3,"Отримувачів продукції контролювали бойовички 2 батальйону 2 бригади НВФ «Оплот» ДНР, начальниця підрозділу розвідки із позивним «Кусок», міністерка економічного розвитку ДНР, її заступниця та ін.",3,8806c823dee8.txt,"{'T15': ('бойовик', 'JOB'), 'T18': ('начальник підрозділу розвідки', 'JOB'), 'T20': ('міністр економічного розвитку', 'JOB'), 'T22': ('заступник', 'JOB')}","{'T15': ('бойовички', 'JOB'), 'T18': ('начальниця підрозділу розвідки', 'JOB'), 'T20': ('міністерка економічного розвитку', 'JOB'), 'T22': ('заступниця', 'JOB')}"
Засновниками фірми є кияни Костянтин Сенюков і Світлана Ланчук.,15,Засновницями фірми є киянки Ольга Сенюкова і Світлана Ланчук.,15,8806c823dee8.txt,"{'T53': ('Засновниками', 'JOB')}","{'T53': ('Засновницями', 'JOB')}"
Сьогодні Медведчук є спеціальним представником України з гуманітарних питань у трьохсторонній контактній групі з урегулювання конфлікту на Донбасі.,17,Сьогодні Медведчук є спеціальною представницею України з гуманітарних питань у трьохсторонній контактній групі з урегулювання конфлікту на Донбасі.,17,8806c823dee8.txt,"{'T60': ('спеціальним представником України з гуманітарних питань', 'JOB')}","{'T60': ('спеціальною представницею України з гуманітарних питань', 'JOB')}"
"Олександр Пономарьов, народний депутат, який обрався до Верховної Ради по бердянському мажоритарному округу №78 як безпартійний самовисуванець, донедавна був членом фракції Партії регіонів, а тепер позафракційний.",9,"Юлія Пономарьова, народна депутатка, яка обралася до Верховної Ради по бердянському мажоритарному округу №78 як безпартійна самовисуванка, донедавна була членкинею фракції Партії регіонів, а тепер позафракційна.",9,883e1bd852d8.txt,"{'T16': ('народний депутат', 'JOB')}","{'T16': ('народна депутатка', 'JOB')}"
"Згодом Валерій Пономарьов вийшов зі складу засновників, а його частку переоформили на Ігоря Добичу.",11,"Згодом Валерія Пономарьова вийшла зі складу засновниць, а її частку переоформили на Ірину Добич.",11,883e1bd852d8.txt,"{'T25': ('засновників', 'JOB')}","{'T25': ('засновниць', 'JOB')}"
"Олена Добича, згідно з останніми даними SMIDA, володіє 10,22% акцій ПрАТ «Бердянський райагропромпостач», головою правління якого Олександр Пономарьов був до свого обрання народним депутатом.",12,"Тетяна Добича, згідно з останніми даними SMIDA, володіє 10,22% акцій ПрАТ «Бердянський райагропромпостач», головою правління якого Олександр Пономарьов був до свого обрання народним депутатом.",12,883e1bd852d8.txt,"{'T32': ('народним депутатом', 'JOB')}","{'T32': ('народним депутатом', 'JOB')}"
"Компанія заснована в березні 2014 р. киянином Ігорем Поліщуком, який сьогодні є її керівником.",4,"Компанія заснована в березні 2014 р. киянкою Іриною Поліщук, яка сьогодні є її керівницею.",4,cb7958ff386e.txt,"{'T15': ('керівником', 'JOB')}","{'T15': ('керівницею', 'JOB')}"
"Раніше Буга був керівником ТОВ «Енерджі трейд груп» – найбільшого постачальника держпідприємств, керівником яких виступає Руслан Журило, нинішній очільник ДП «Об'єднана гірничо-хімічна компанія» (ОГХК).",7,"Раніше Буга була керівницею ТОВ «Енерджі трейд груп» – найбільшого постачальника держпідприємств, керівницею яких виступає Руслана Журила, нинішня очільниця ДП «Об'єднана гірничо-хімічна компанія» (ОГХК).",7,cb7958ff386e.txt,"{'T22': ('керівником', 'JOB'), 'T24': ('керівником', 'JOB'), 'T26': ('очільник', 'JOB')}","{'T22': ('керівницею', 'JOB'), 'T24': ('керівницею', 'JOB'), 'T26': ('очільниця', 'JOB')}"
"Бізнес-партнером Жванії довгі роки був Микола Мартиненко, нинішній нардеп від «Народного фронту».",11,"Бізнес-партнеркою Жванії довгі роки була Надія Мартиненко, нинішня нардепка від «Народного фронту».",11,cb7958ff386e.txt,"{'T36': ('Бізнес-партнером', 'JOB'), 'T40': ('нардеп', 'JOB')}","{'T36': ('Бізнес-партнеркою', 'JOB'), 'T40': ('нардепка', 'JOB')}"
Саме його називав куратором ОГХК Генадій Корбан.,12,Саме її називав кураторкою ОГХК Генадій Корбан.,12,cb7958ff386e.txt,"{'T42': ('куратором', 'JOB')}","{'T42': ('кураторкою', 'JOB')}"
У свою чергу екс-голова ДФІ Микола Гордієнко називав Мартиненка «смотрящім» за «Енергоатомом».,13,У свою чергу екс-голова ДФІ Руслана Гордієнко називала Мартиненка «смотрящім» за «Енергоатомом».,13,cb7958ff386e.txt,"{'T45': ('екс-голова', 'JOB')}","{'T45': ('екс-голова', 'JOB')}"
Наприкінці липня начальник Держреєстслужби Старокостянтинівського району і фахівець з набору та отримання землі ТОВ «Енселко Агро» домовилися про пришвидшення державної реєстрації договорів оренди сільськогосподарських ділянок.,2,Наприкінці липня начальниця Держреєстслужби Старокостянтинівського району і фахівчиня з набору та отримання землі ТОВ «Енселко Агро» домовилися про пришвидшення державної реєстрації договорів оренди сільськогосподарських ділянок.,2,d7e523681acc.txt,"{'T10': ('начальник', 'JOB'), 'T12': ('фахівець з набору та отримання землі', 'JOB')}","{'T10': ('начальниця', 'JOB'), 'T12': ('фахівчиня з набору та отримання землі', 'JOB')}"
До грудня 2012 р. власником «Охоронного холдінгу» був екс-нардеп «Партії регіонів» Станіслав Мельник.,4,До грудня 2012 р. власницею «Охоронного холдінгу» була екс-нардепка «Партії регіонів» Галина Мельник.,4,ba4204adf371.txt,"{'T11': ('екс-нардеп', 'JOB')}","{'T11': ('екс-нардепка', 'JOB')}"
Ніколєнко раніше працював заступником начальника Управління Державної служби охорони при ГУМВС України в Донецькій обл. Нині співзасновником замість Ніколєнка є киянин Анатолій Клюцківський.,8,Ніколєнко раніше працювала заступницею начальниці Управління Державної служби охорони при ГУМВС України в Донецькій обл. Нині співзасновницею замість Ніколєнко є киянка Катерина Клюцківська.,8,ba4204adf371.txt,"{'T23': ('заступником начальника', 'JOB'), 'T25': ('співзасновником', 'JOB')}","{'T23': ('заступницею начальниці', 'JOB'), 'T25': ('співзасновницею', 'JOB')}"
"Нагадаємо, восени минулого року мером Запоріжжя було обрано Володимира Буряка, який до цього працював головний інженером металургійного комбінату «Запоріжсталь», також з групи Ахметова.",13,"Нагадаємо, восени минулого року очільницею Запоріжжя було обрано Ольгу Буряк, яка до цього працювала головною інженеркою металургійного комбінату «Запоріжсталь», також з групи Ахметова.",13,ba4204adf371.txt,"{'T49': ('мером', 'JOB'), 'T52': ('головний інженером', 'JOB')}","{'T49': ('очільницею', 'JOB'), 'T52': ('головною інженеркою', 'JOB')}"
Поліція підозрює голову Лиманської міської ради Донецької області Петра Цимідана у внесенні до декларації про доходи недостовірних даних.,0,Поліція підозрює голову Лиманської міської ради Донецької області Олени Цимідян у внесенні до декларації про доходи недостовірних даних.,0,bed0c1b62024.txt,"{'T1': ('голову', 'JOB')}","{'T1': ('голову', 'JOB')}"
"Слідчий повідомив, що до прокуратури звернувся з заявою голова Громадської ради при виконавчому комітеті Лиманської міськради.",2,"Слідча повідомила, що до прокуратури звернулася з заявою голова Громадської ради при виконавчому комітеті Лиманської міськради.",2,bed0c1b62024.txt,"{'T7': ('Слідчий', 'JOB'), 'T8': ('голова', 'JOB')}","{'T7': ('Слідча', 'JOB'), 'T8': ('голова', 'JOB')}"
"В заяві він заявив, що мер міста в деклараціях за 2015 та 2016 роки не вказав належні йому готельно-туристичний комплекс «Готель «Заря» вартістю 1,67 млн грн., придорожнє кафе «Колиба» вартістю 0,58 млн грн., будинок вартістю 0,13 млн грн та 15 земельних ділянок, з яких 9 були віддані в суборенду у звітному періоді.",3,"В заяві вона заявила, що очільниця міста в деклараціях за 2015 та 2016 роки не вказал належні їй готельно-туристичний комплекс «Готель «Заря» вартістю 1,67 млн грн., придорожнє кафе «Колиба» вартістю 0,58 млн грн., будинок вартістю 0,13 млн грн та 15 земельних ділянок, з яких 9 були віддані в суборенду у звітному періоді.",3,bed0c1b62024.txt,"{'T10': ('мер', 'JOB')}","{'T10': ('очільниця', 'JOB')}"
В суді слідчий клопотав накласти арешт на вилучені документи і суд це клопотання задовольнив.,6,В суді слідча клопотала накласти арешт на вилучені документи і суд це клопотання задовольнив.,6,bed0c1b62024.txt,"{'T23': ('слідчий', 'JOB')}","{'T23': ('слідча', 'JOB')}"
"Міським головою Лимана є Петро Цимідан, який в 2015 році переміг на виборах від партії «Опозиційний блок».",7,"Міською головою Лиман є Маргарита Цимідан, яка в 2015 році перемогла на виборах від партії «Опозиційний блок».",7,bed0c1b62024.txt,"{'T24': ('Міським головою', 'JOB')}","{'T24': ('Міською головою', 'JOB')}"
"Золотарьова нині є власницею ТОВ «Царіцино», єдиним засновником якого раніше був Цимідан і який при реєстрації фірми вказав саме адресу цього будинку в Діброві.",9,"Золотарьов нині є власником ТОВ «Царіцино», єдиною засновницею якого раніше була Світлана і яка при реєстрації фірми вказала саме адресу цього будинку в Діброві.",9,bed0c1b62024.txt,"{'T35': ('засновником', 'JOB')}","{'T35': ('засновницею', 'JOB')}"
"В декларації мер Лимана вказав, що дружина є власницею квартири в Києві, а йому належить земельну ділянку площею 700 кв м в Лиманському районі.",11,"В декларації очільниця Лимана вказала, що чоловік є власником квартири в Києві, а їй належить земельна ділянка площею 700 кв м в Лиманському районі.",11,bed0c1b62024.txt,"{'T41': ('мер', 'JOB')}","{'T41': ('очільниця', 'JOB')}"
"Тоді провалився колодязь на перехресті вулиць Енегельса та Артема в Слов'янську, внаслідок чого стався витік стічних вод обсягом 2,70 тис куб м. Комунальники самостійно намагалися стабілізувати роботу колектора, але ситуація погіршилася.",4,"Тоді провалився колодязь на перехресті вулиць Енегельса та Артема в Слов'янську, внаслідок чого стався витік стічних вод обсягом 2,70 тис куб м. Комунальниці самостійно намагалися стабілізувати роботу колектора, але ситуація погіршилася.",4,a9d2c035032d.txt,"{'T13': ('Комунальники', 'JOB')}","{'T13': ('Комунальниці', 'JOB')}"
А раніше співзасновником цього підприємства був Олександр Устименко.,13,А раніше співзасновницею цього підприємства була Олена Устименко.,13,a9d2c035032d.txt,"{'T34': ('співзасновником', 'JOB')}","{'T34': ('співзасновницею', 'JOB')}"
"На початку 2015 року депутат Кременчукської міськради Олег Савченко (Свобода) заявив, що бізнес-партнером директора «Спецінжиніринг постачу» є син екс-премʼєр-міністра Миколи Азарова – Олексій.",16,"На початку 2015 року депутатка Кременчукської міськради Тетяна Савченко (Свобода) заявила, що бізнес-партнером директорки «Спецінжиніринг постачу» є син екс-премʼєр-міністерки Олени Азарової – Олександр.",16,a9d2c035032d.txt,"{'T39': ('депутат', 'JOB'), 'T43': ('директора', 'JOB'), 'T45': (""екс-премʼєр-міністра"", 'JOB')}","{'T39': ('депутатка', 'JOB'), 'T43': ('директорки', 'JOB'), 'T45': (""екс-премʼєр-міністерки"", 'JOB')}"
Але керівництво фірми цю інформацію спростувало.,17,Але керівництво фірми цю інформацію спростувало.,17,a9d2c035032d.txt,"{'T48': ('керівництво', 'JOB')}","{'T48': ('керівництво', 'JOB')}"
"Податківці, які займали високі посади та нещодавно залишили службу, оселилися у маєтках від Києвом.",0,"Податківчині, які займали високі посади та нещодавно залишили службу, оселилися у маєтках від Києвом.",0,3eef4bd7fc75.txt,"{'T1': ('Податківці', 'JOB')}","{'T1': ('Податківчині', 'JOB')}"
"У Петропавлійській Борщагівці, що у передмісті Києва, колишній заступник начальника податкової міліції Міндоходів Анатолій Яковинець на вул. Авіаторів володіє 7 сотками землі та будинком у 500 кв м. Вони дісталися Яковинцю у подарунок у 2010 році.",2,"У Петропавлійській Борщагівці, що у передмісті Києва, колишня заступниця начальниці податкової міліції Міндоходів Ольга Яковинець на вул. Авіаторів володіє 7 сотками землі та будинком у 500 кв м. Вони дісталися Яковинець у подарунок у 2010 році.",2,3eef4bd7fc75.txt,"{'T7': ('заступник начальника', 'JOB')}","{'T7': ('заступниця начальниці', 'JOB')}"
У Петропавлійській Борщагівці на вул. Закарпатській добудовує маєток ще один екс-податківець Сергій Солодченко.,4,У Петропавлійській Борщагівці на вул. Закарпатській добудовує маєток ще одна екс-податківчиня Олена Солодченко.,4,3eef4bd7fc75.txt,"{'T17': ('екс-податківець', 'JOB')}","{'T17': ('екс-податківчиня', 'JOB')}"
"Він кілька місяців очолював слідче управління фінансових розслідувань Міндоходів Луганської області, а в липні минулого року після окупації Луганську російськими терористами став першим заступником начальника головного слідчого управління ДФС України й оперативно почав будувати домівку після переїзду до столиці.",5,"Вона кілька місяців очолювала слідче управління фінансових розслідувань Міндоходів Луганської області, а в липні минулого року після окупації Луганську російськими терористами стала першою заступницею начальника головного слідчого управління ДФС України й оперативно почала будувати домівку після переїзду до столиці.",5,3eef4bd7fc75.txt,"{'T23': ('першим заступником начальника', 'JOB')}","{'T23': ('першою заступницею начальника', 'JOB')}"
"Він син Геннадія Романенка, який з травня 2015 року працює радником голови ДФС Романа Насірова, а раніше очолював Київську регіональну митницю.",10,"Він син Галини Романенко, яка з травня 2015 року працює радницею голови ДФС Романа Насірова, а раніше очолювала Київську регіональну митницю.",10,3eef4bd7fc75.txt,"{'T41': ('радником голови', 'JOB')}","{'T41': ('радницею голови', 'JOB')}"
Геннадій Романенко є кумом колишнього голови митниці та екс-віце-спікера Ігоря Калєтніка.,11,Геннадій Романенко є кумом колишньої голови митниці та екс-віце-спікерки Інни Калєтнік.,11,3eef4bd7fc75.txt,"{'T46': ('голови митниці', 'JOB'), 'T47': ('екс-віце-спікера', 'JOB')}","{'T46': ('голови митниці', 'JOB'), 'T47': ('екс-віце-спікерки', 'JOB')}"
"Крім того, як раніше повідомляв проект «Гарна Хата», у цьому ж селі Романків за час служби збудував маєток на 600 кв. м. екс-заступник голови податкової міліції Юрій Атаманюк.",14,"Крім того, як раніше повідомляв проект «Гарна Хата», у цьому ж селі Романків за час служби збудувала маєток на 600 кв. м. екс-заступниця голови податкової міліції Марія Атаманюк.",14,3eef4bd7fc75.txt,"{'T56': ('екс-заступник голови', 'JOB')}","{'T56': ('екс-заступниця голови', 'JOB')}"
"Парк, в якому встановлено пам'ятник Георгію Гонгадзе і загиблим журналістам, потрібно реконструювати впродовж трьох місяців з моменту підписання угоди.",3,"Парк, в якому встановлено пам'ятник Георгії Гонгадзе і загиблим журналісткам, потрібно реконструювати впродовж трьох місяців з моменту підписання угоди.",3,f342f88df1c8.txt,"{'T11': ('журналістам', 'JOB')}","{'T11': ('журналісткам', 'JOB')}"
"Нагадаємо, в 2011 році підряд на ремонт фонтану в цьому сквері вартістю 4,90 млн грн. отримало ТОВ «Інтеко інжиніринг» депутата Київради Дмитра Андріївського.",7,"Нагадаємо, в 2011 році підряд на ремонт фонтану в цьому сквері вартістю 4,90 млн грн. отримало ТОВ «Інтеко інжиніринг» депутатки Київради Лариси Андріївської.",7,f342f88df1c8.txt,"{'T16': ('депутата', 'JOB')}","{'T16': ('депутатки', 'JOB')}"
