Оригінальне речення,Змінене речення,Анотації,Коректність речення,Виправлене речення,Помічник/ця
"Одночасною атакою головних сил Б . Хмельницького і загону М . Кривоноса було розгромлене , а коронні гетьмани М . Потоцький та М . Калиновський опинились у полоні .","Одночасною атакою головних сил Зої Хмельницької і загону Олени Кривонос було розгромлене, а коронні гетьмани М . Потоцький та М . Калиновський опинились у полоні.","{'Б . Хмельницького': 'PERS', 'М . Кривоноса': 'PERS', 'коронні гетьмани': 'JOB', 'М . Потоцький': 'PERS', 'М . Калиновський': 'PERS', 'Хмельницького': 'PERS'}",Містить помилки,"Одночасною атакою головних сил З. Хмельницької і загону О. Кривонос було розгромлене, а коронні гетьманші М . Потоцька та М . Калиновська опинились у полоні.",
"Вона складається із представників різних професій , спеціальностей , соціальних верств : від прибиральника — до генерального директора , але всі вони мають бути однодумцями , сповідувати в рамках своєї виробничої діяльності одні й ті самі принципи та цінності .","Він складається із представників різних професій, спеціальностей, соціальних верств: від прибиральниці — до генеральної директорки, але всі вони мають бути однодумцями, сповідувати в рамках своєї виробничої діяльності одні й ті самі принципи та цінності.","{'прибиральника': 'JOB', 'генерального директора': 'JOB'}",Містить помилки,"Вона складається із представників різних професій, спеціальностей, соціальних верств: від прибиральниці — до генеральної директорки, але всі вони мають бути однодумицями, сповідувати в рамках своєї виробничої діяльності одні й ті самі принципи та цінності.",
Міський голова Михайло Сімашкевич пообіцяв провести моніторинг цін в аптеках за участю податкової інспекції .,Міський голова Тетяна Сімашкевич пообіцяла провести моніторинг цін в аптеках за участю податкової інспекції.,"{'Міський голова': 'JOB', 'Михайло Сімашкевич': 'PERS'}",Містить помилки,Міська голова Тетяна Сімашкевич пообіцяла провести моніторинг цін в аптеках за участю податкової інспекції.,
"На підставі цих даних міський голова надіслав лист в . о . начальника Державної інспекції контролю за цінами у Хмельницькій області Дмитру Ягодину з проханням включити до плану перевірок суб’єктів господарювання , які здійснюють підприємницьку діяльність в аптеках у різних мікрорайонах міста , і залучити при їх проведенні працівників управління економіки міської ради .","На підставі цих даних міська голова надіслала лист в . о . начальниці Державної інспекції контролю за цінами у Хмельницькій області Ользі Ягодині з проханням включити до плану перевірок суб’єктів господарювання , які здійснюють підприємницьку діяльність в аптеках у різних мікрорайонах міста , і залучити при їх проведенні працівниць управління економіки міської ради .","{'міський голова': 'JOB', 'в . о . начальника': 'JOB', 'Дмитру Ягодину': 'PERS'}",Правильне,,Анна К.
"Коли мова йде про окремі продовольчі товари , то , як зазначив заступник начальника управління економіки Сергій Цвяк , на них гранична надбавка встановлена на рівні 10-15 % .","Коли мова йде про окремі продовольчі товари, то, як зазначила заступниця начальника управління економіки Ніна Цвяк, на них гранична надбавка встановлена на рівні 10-15 %.","{'заступник начальника': 'JOB', 'Сергій Цвяк': 'PERS'}",Правильне,,
"Херсонщина втратила талановитого журналіста , письменника , публіциста , першого і поки що єдиного лауреата всеукраїнської премії ім . І . Франка у галузі інформаційної діяльності .","Херсонщина втратила талановиту журналістку, письменницю, публіцистку, першого і поки що єдиного лауреата всеукраїнської премії ім. І. Франка у галузі інформаційної діяльності.","{'журналіста': 'JOB', 'письменника': 'JOB', 'публіциста': 'JOB'}",Містить помилки,"Херсонщина втратила талановиту журналістку, письменницю, публіцистку, першу і поки що єдину лауреатку всеукраїнської премії ім. І. Франка у галузі інформаційної діяльності.",
"Всяке бувало , але редактор олешківської міськрайонки ніколи і ні перед ким не стояв на колінах !","Всяке було, але редакторка олешківської міськрайонки ніколи і ні перед ким не стояла на колінах!",{'редактор': 'JOB'},Правильне,,
Після публікації над Борисом Прищепою і тодішнім редактором Петром Прядкою влаштували компартійне судилище .,Після публікації над Оленою Прищепою і тодішньою редакторкою Петрою Прядкою влаштували компартійне судилище.,"{'Борисом Прищепою': 'PERS', 'редактором': 'JOB', 'Петром Прядкою': 'PERS'}",Містить помилки,Після публікації над Оленою Прищепою і тодішньою редакторкою Мариною Прядкою влаштували компартійне судилище.,
За захистом честі й гідності автор « крамоли » дійшов до суду — такого « зухвальства » з боку журналістів досі не дозволяв собі в області ніхто !,За захистом честі й гідності автор « крамоли » дійшов до суду — такого « зухвальства » з боку журналісток досі не дозволяв собі в області ніхто !,{'журналістів': 'JOB'},Містить помилки,За захистом честі й гідності авторка « крамоли » дійшла до суду — такого « зухвальства » з боку журналісток досі не дозволяв собі в області ніхто !,
"Навіть після таких « виховних методів » журналіст не зламався , не виїхав світ за очі від своїх « вихователів » , бо , казав , « душа моя тут — серед річок , заплав , плавнів , лісу , й змінювати стиль життя , тим більш зраджувати поклику душі , я не хочу … » .","Навіть після таких « виховних методів » журналістка не зламалася , не виїхала світ за очі від своїх « вихователів » , бо , казала , « душа моя тут — серед річок , заплав , плавнів , лісу , й змінювати стиль життя , тим більш зраджувати поклику душі , я не хочу … » .",{'журналіст': 'JOB'},Правильне,,
"Високий стілець біля великого червоного ростера — робоче місце Юлії Сайчук , чинної чемпіонки України серед обсмажувальників .","Високий стілець біля великого червоного ростера — робоче місце Андрія Сайчука , чинного чемпіона України серед обсмажувальників .","{'Юлії Сайчук': 'PERS', 'обсмажувальників': 'JOB'}",Правильне,,
Натомість спершу довго працювала бариста .,Натомість спершу довго працював баристою.,{'бариста': 'JOB'},Правильне,,
"Підсмикнувши вузькі штани так високо , що аж ставало видно підтяжки шовкових шкарпеток , і намагаючись не дивитись , на що перетворюються ще годину тому лискучі , напуцовані шкіряні черевики з вузькими носаками і вставками з сукна , доктор Анґер сидів на краєчку високого пня і , зачаровано стежачи за Петровими рухами , розповідав про дружину .","Підсмикнувши вузькі штани так високо, що аж ставало видно підтяжки шовкових шкарпеток, і намагаючись не дивитись, на що перетворюються ще годину тому лискучі, напуцовані шкіряні черевики з вузькими носаками і вставками з сукна, докторка Анґер сиділа на краєчку високого пня і, зачаровано стежачи за Петровими рухами, розповідала про чоловіка.","{'Петровими': 'PERS', 'доктор': 'JOB', 'Анґер': 'PERS'}",Містить помилки,"Підсмикнувши вузькі штани так високо, що аж ставало видно підтяжки шовкових шкарпеток, і намагаючись не дивитись, на що перетворюються ще годину тому лискучі, напуцовані шкіряні черевики з вузькими носаками і вставками з сукна, докторка Анґер сиділа на краєчку високого пня і, зачаровано стежачи за Марининими рухами, розповідала про чоловіка.",
"Про те , як , повертаючись зі шпиталю пізно ввечері , він тихенько стукав до дверей її покою і прислухався до шурхотіння постелі і до її тихого « Дуже прошу » , як входив до темного приміщення зі свічкою в руці , підходив до ліжка , в якому серед пухких перин і подушок лежала вона , ніжно усміхаючись , — « Зовсім така ж , як і тут » , — і доктор схвильовано вдивлявся в мармурове обличчя , вилиці якого Петро ювелірними рухами поправляв різцем .","Про те , як , повертаючись зі шпиталю пізно ввечері , вона тихенько стукала до дверей його покою і прислухалась до шурхотіння постелі і до її тихого « Дуже прошу » , як входила до темного приміщення зі свічкою в руці , підходила до ліжка , в якому серед пухких перин і подушок лежав він , ніжно усміхаючись , — « Зовсім такий же , як і тут » , — і докторка схвильовано вдивлялась в мармурове обличчя , вилиці якого Ірина ювелірними рухами поправляла різцем .","{'Петро': 'PERS', 'доктор': 'JOB'}",Містить помилки,"Про те , як , повертаючись зі шпиталю пізно ввечері , він тихенько стукав до дверей її покою і прислухався до шурхотіння постелі і до її тихого « Дуже прошу » , як входив до темного приміщення зі свічкою в руці , підходив до ліжка , в якому серед пухких перин і подушок лежала вона , ніжно усміхаючись , — « Зовсім така ж , як і тут » , — і докторка схвильовано вдивлявся в мармурове обличчя , вилиці якого Петро ювелірними рухами поправляв різцем .",Петро І.
"Доктора вже кілька років немає на світі , а мармурова Тереза солодко спить серед подушок і перин на своєму камінному ложі під пірамідальними липами цвинтаря .","Докторки вже кілька років немає на світі, а мармуровий Олексій солодко спить серед подушок і перин на своєму камінному ложі під пірамідальними липами цвинтаря.","{'Доктора': 'JOB', 'Тереза': 'PERS'}",Правильне,,
"Аделя під час його приходів усе мусила бути десь поруч : то пива підливала їм із доктором Анґером до кухлів , то приносила смажений згливілий сир , начинювані яйця і канапки з язиком чи сомом — що в домі було найкращого .","Олександр під час її приходів усе мусив бути десь поруч : то пива підливала їй із докторкою Анґер до кухлів , то приносила смажений згливілий сир , начинювані яйця і канапки з язиком чи сомом — що в домі було найкращого .","{'Аделя': 'PERS', 'доктором': 'JOB', 'Анґером': 'PERS'}",Містить помилки,"Аделя під час його приходів усе мусила бути десь поруч : то пива підливала їм із докторкою Анґер до кухлів , то приносила смажений згливілий сир , начинювані яйця і канапки з язиком чи сомом — що в домі було найкращого .",
"Всім своїм видом показувала роздратування , а коли пан доктор запитували , у чому ж річ , чому я не в гуморі , це викликало у мене таке бурхливе обурення і могутні емоції ( адже ж не могла я прямо відповісти на це запитання ) , що я не витримувала , виходила зі світлиці : засліплена , зла , самотня , розірвана на частини своїми жалями , любов’ю , образою .","Всім своїм видом показувала роздратування, а коли пані докторка запитувала, у чому ж річ, чому я не в гуморі, це викликало у мене таке бурхливе обурення і могутні емоції (адже ж не могла я прямо відповісти на це запитання), що я не витримувала, виходила зі світлиці: засліплена, зла, самотня, розірвана на частини своїми жалями, любов’ю, образою.",{'доктор': 'JOB'},Правильне,,
"Незабаром прийшли НКВД-исти та « зрівняли » євангеликів у правах з папістами , бо фізично ліквідували і тих , і інших .","Незабаром прийшли НКВД-істки та « зрівняли » євангеликів у правах з папістами , бо фізично ліквідували і тих , і інших .",{'НКВД-исти': 'JOB'},Містить помилки,"Незабаром прийшли НКВД-истки та « зрівняли » євангеликів у правах з папістами , бо фізично ліквідували і тих , і інших .",
"Так , римський католицизм не прийняв 6 - ї тези Лютера : « Папа не може забрати жодної провини , він може оголосити та показати , що Бог їх забрав » .","Так , римський католицизм не прийняв 6 - ї тези Лютерки : « Папа не може забрати жодної провини , він може оголосити та показати , що Бог їх забрав » .","{'Лютера': 'PERS', 'Папа': 'JOB', 'Бог': 'PERS'}",Містить помилки,"Так , римський католицизм не прийняв 6 - ї тези Лютера : « Папа не може забрати жодної провини , він може оголосити та показати , що Бог їх забрав » .",
"Мати хвилюється , бо Сава не привіз друга-боярина , на галицькому діалекті - дружбу ; довелося авралом шукати когось із місцевих , випадкові люди з наших організацій , щоправда , допомогли , із священиком домовлено .","Мати хвилюється, бо Світлана не привезла подругу-бояриню, на галицькому діалекті - дружбу; довелося авралом шукати когось із місцевих, випадкові люди з наших організацій, щоправда, допомогли, із священиком домовлено.","{'Сава': 'PERS', 'священиком': 'JOB'}",Містить помилки,"Мати хвилюється, бо Світлана не привезла друга-боярина, на галицькому діалекті - дружбу; довелося авралом шукати когось із місцевих, випадкові люди з наших організацій, щоправда, допомогли, із священицею домовлено.",
"Може , він двужон і в останню хвилю до церкви прибіжить якась розпатлана й заплакана молода пані з дитиною на руках , кинеться їй і Саві в ноги , буде просити й заклинати його відступитися , покинути Іванку іменем їхнього спільного дитяти , шлюб не відбудеться ; Сава , забравши на руки сина , щезне назавжди , востаннє міряючи Іванку розпачливим поглядом смертельно пораненого гладіатора ...","Може, вона двужонка і в останню хвилю до церкви прибіжить якийсь розпатланий й заплачений молодий пан з дитиною на руках, кинеться їй і Саві в ноги, буде просити й заклинати її відступитися, покинути Іванку іменем їхнього спільного дитяти, шлюб не відбудеться; Сава, забравши на руки дочку, щезне назавжди, востаннє міряючи Іванку розпачливим поглядом смертельно пораненої гладіаторки ...","{'Сава': 'PERS', 'Саві': 'PERS', 'Іванку': 'PERS', 'гладіатора': 'JOB'}",Містить помилки,"Може, вона двужонка і в останню хвилю до церкви прибіжить якийсь розпатланий й заплачений молодий пан з дитиною на руках, кинеться їй і Саві в ноги, буде просити й заклинати її відступитися, покинути Іванку іменем їхнього спільного дитяти, шлюб не відбудеться; Сава, забравши на руки дочку, щезне назавжди, востаннє міряючи Іванку розпачливим поглядом смертельно пораненого гладіатора ...",
"Ритуальні рухи священика , шлюбні корони на головах молодят , во ім'я отця і сина , Савина права вилиця ледь посмикується , і не покину тебе до смерті , після цих слів Савиним тілом пробіг морозець , нарікаю вас мужем і жоною , що з'єднав Господь , хай люди не розлучають ...","Ритуальні рухи священиці , шлюбні корони на головах молодят , во ім'я отця і сина , Олени права вилиця ледь посмикується , і не покину тебе до смерті , після цих слів Олениним тілом пробіг морозець , нарікаю вас мужем і жоною , що з'єднав Господь , хай люди не розлучають ...","{'священика': 'JOB', 'Савина': 'PERS', 'Савиним': 'PERS', 'Господь': 'PERS'}",Містить помилки,"Ритуальні рухи священиці , шлюбні корони на головах молодят , во ім'я отця і сина , Савина права вилиця ледь посмикується , і не покину тебе до смерті , після цих слів Савиним тілом пробіг морозець , нарікаю вас мужем і жоною , що з'єднав Господь , хай люди не розлучають ...",
Устократ ріднішим стає для неї після цих слів священика дивний чорнобородий степовик .,Устократ ріднішим стає для неї після цих слів священиці дивний чорнобородий степовик .,{'священика': 'JOB'},Правильне,,
"Долучилися до заходу заступник голови райдержадміністрації Сергій Білецький , начальник управління фінансів Тамара Матяш , начальник відділу освіти Микола Каськів , директори загальноосвітніх шкіл I-III ступенів , опорних шкіл та навчально-виховних об’єднань .","Долучилися до заходу заступниця голови райдержадміністрації Марина Білецька , начальниця управління фінансів Тамара Матяш , начальниця відділу освіти Валерій Каськів , директори загальноосвітніх шкіл I-III ступенів , опорних шкіл та навчально-виховних об’єднань .","{'заступник голови райдержадміністрації': 'JOB', 'Сергій Білецький': 'PERS', 'начальник управління фінансів': 'JOB', 'Тамара Матяш': 'PERS', 'начальник відділу освіти': 'JOB', 'Микола Каськів': 'PERS', 'директори': 'JOB'}",Містить помилки,"Долучилися до заходу заступниця голови райдержадміністрації Марина Білецька , начальниця управління фінансів Тамара Матяш , начальниця відділу освіти Валерія Каськів , директорки загальноосвітніх шкіл I-III ступенів , опорних шкіл та навчально-виховних об’єднань .",Оля Н.
"За словами заступника голови РДА , школи Бориспільського району — перші в Київській області , які набули статусу розпорядників коштів .","За словами заступниці голови РДА , школи Бориспільського району — перші в Київській області , які набули статусу розпорядників коштів .",{'заступника голови': 'JOB'},Правильне,,
"Очільник запросив до виступу кожного директора з проханням прозвітувати про нормативно-правову документацію , якою керуються вони в щоденній роботі .","Очільниця запросила до виступу кожну директорку з проханням прозвітувати про нормативно-правову документацію, якою керуються вони в щоденній роботі.","{'Очільник': 'JOB', 'директора': 'JOB'}",Правильне,,
"Зокрема , йшлося про обов’язкові штатні одиниці медичної сестри та логопеда .","Зокрема , йшлося про обов’язкові штатні одиниці медичного брата та логопедки .","{'медичної сестри': 'JOB', 'логопеда': 'JOB'}",Містить помилки,"Зокрема , йшлося про обов’язкові штатні одиниці медичного брата та логопедині .",
"Якщо присутність медсестри в навчальному закладі є вкрай необхідною , то доцільність введення в школі посади логопеда обговорюватиметься та вивчатиметься по кожній школі окремо .","Якщо присутність медбрата в навчальному закладі є вкрай необхідною, то доцільність введення в школі посади логопеда обговорюватиметься та вивчатиметься по кожній школі окремо.","{'логопеда': 'JOB', 'медсестри': 'JOB'}",Містить помилки,"Якщо присутність медбрата в навчальному закладі є вкрай необхідною, то доцільність введення в школі посади логопедині обговорюватиметься та вивчатиметься по кожній школі окремо.",
"Заступник голови райдержадміністрації наголосив на тому , що РДА готова виділити необхідні кошти для підтримки інклюзивного навчання .","Заступниця голови райдержадміністрації наголосила на тому , що РДА готова виділити необхідні кошти для підтримки інклюзивного навчання .",{'Заступник голови': 'JOB'},Правильне,,
"Директори шкіл мали можливість висловити свої пропозиції та зауваження , а також поставити до керівництва району запитання щодо фінансування ремонтних робіт , харчування школярів , позашкільного дозвілля .","Директори шкіл мали можливість висловити свої пропозиції та зауваження, а також поставити до керівництва району запитання щодо фінансування ремонтних робіт, харчування школярів, позашкільного дозвілля.",{'Директори': 'JOB'},Містить помилки,"Директорки шкіл мали можливість висловити свої пропозиції та зауваження, а також поставити до керівництва району запитання щодо фінансування ремонтних робіт, харчування школярів, позашкільного дозвілля.",
"Мовляв , тренерам повідомили про звільнення , не запропонувавши жодної альтернативи , і діти вже не мають де займатися .","Мовляв, тренеркам повідомили про звільнення, не запропонувавши жодної альтернативи, і діти вже не мають де займатися.",{'тренерам': 'JOB'},Правильне,,
"Тренери , зі свого боку , нагадали , що у цьому випадку постраждали діти , про яких новостворена ОТГ при прийнятті свого рішення зовсім забула .","Тренерки , зі свого боку , нагадали , що у цьому випадку постраждали діти , про яких новостворена ОТГ при прийнятті свого рішення зовсім забула .",{'Тренери': 'JOB'},Правильне,,
"Голова громади розповідає , що в перші місяці було дуже важко , працювали в авральному режимі – оформлення всіх необхідних документів , прийом на роботу працівників , створення відповідних структурних підрозділів займали надзвичайно багато часу .","Голова громади розповідає , що в перші місяці було дуже важко , працювали в авральному режимі – оформлення всіх необхідних документів , прийом на роботу працівниць , створення відповідних структурних підрозділів займали надзвичайно багато часу .",{'Голова громади': 'JOB'},Правильне,,
"І могла би довго й пристрасно пояснювати , чому доброму математикові потрібна багата уява .","І могла би довго й пристрасно пояснювати, чому добрій математичці потрібна багата уява.",{'математикові': 'JOB'},Містить помилки,"І могла би довго й пристрасно пояснювати , чому добрій математикині потрібна багата уява .",Тарас Я.
"Ірма блискавично справляється з цим завданням , дивуючи однокласників і вчителів .","Ірмантин блискавично справляється з цим завданням, дивуючи однокласників і вчителів.","{'Ірма': 'PERS', 'вчителів': 'JOB'}",Містить помилки,"Ірма блискавично справляється з цим завданням , дивуючи однокласників і вчительок .",
Вчителі через таке вміння ставляться до неї з неабияким пієтетом і покладають на Ірму чималі сподівання .,Вчительки через таке вміння ставляться до нього з неабияким пієтетом і покладають на Сергія чималі сподівання.,"{'Вчителі': 'JOB', 'Ірму': 'PERS'}",Містить помилки,Вчительки через таке вміння ставляться до неї з неабияким пієтетом і покладають на Ірму чималі сподівання .,
"Вчителька математики думає , що Ірма має неодмінно потрапити в Особливу математичну школу у Великому місті .","Вчитель математики думає, що Сергій має неодмінно потрапити в Особливу математичну школу у Великому місті.","{'Ірма': 'PERS', 'Вчителька математики': 'JOB'}",Містить помилки,"Вчитель математики думає , що Ірма має неодмінно потрапити в Особливу математичну школу у Великому місті .",
"Вони працюють директорами в школах , чиновниками в мерії та в поліції .","Вони працюють директорками в школах, чиновницями в мерії та в поліції.","{'директорами': 'JOB', 'чиновниками': 'JOB'}",Правильне,,
"І вважає , що доньці краще було б вибрати якесь інше заняття , наприклад , стати садівницею , тоді вони могли би працювати разом у маминому саду .","І вважає , що доньці краще було б вибрати якесь інше заняття , наприклад , стати садівником , тоді вони могли би працювати разом у маминому саду .",{'садівницею': 'JOB'},Містить помилки,"І вважає , що сину краще було б вибрати якесь інше заняття , наприклад , стати садівником , тоді вони могли би працювати разом у маминому саду .",
І запишеться до мами на курси садівників і працюватиме з нею рік або два .,І запишеться до мами на курси садівниць і працюватиме з нею рік або два.,{'садівників': 'JOB'},Правильне,,
"Слідчі встановили, що у 2018-2019 рр. управління ЖКГ Чернігівської міськради та ТОВ «Армшляхбуд» уклали низку договорів на загальну суму 91,89 млн грн.","Слідчі встановили, що у 2018-2019 рр. управління ЖКГ Чернігівської міськради та ТОВ «Армшляхбуд» уклали низку договорів на загальну суму 91,89 млн грн.",{'Слідчі': 'JOB'},Правильне,,
"Суд надав слідчим доступ до документації щодо 49 угод, які знаходяться в ТОВ «Армшляхбуд» та управлінні ЖКГ.","Суд надав слідчій доступ до документації щодо 49 угод, які знаходяться в ТОВ «Армшляхбуд» та управлінні ЖКГ.",{'слідчим': 'JOB'},Правильне,,
"Директором та засновником ТОВ «Армшляхбуд», створеного у лютому 2018 р., є Андранік Мкртчян.","Директоркою та засновницею ТОВ «Армшляхбуд», створеного у лютому 2018 р., є Валентина Мкртчян.","{'Директором': 'JOB', 'засновником': 'JOB', 'Андранік Мкртчян': 'PERS'}",Правильне,,
"Жовтневий райсуд м. Дніпро призначив 25,5 тис грн. штрафу колишньому головному спеціалісту відділу контролю за використанням та охорони земель у Верхньодніпровському, Криничанському, П'ятихатському районах та м. Кам'янське управління з контролю за використанням та охороною земель ГУ Держгеокадастру у Дніпропетровській області Олександру Тютюннику, який отримав $31 тис хабара.","Жовтневий райсуд м. Дніпро призначив 25,5 тис грн. штрафу колишній головній спеціалістці відділу контролю за використанням та охорони земель у Верхньодніпровському, Криничанському, П'ятихатському районах та м. Кам'янське управління з контролю за використанням та охороною земель ГУ Держгеокадастру у Дніпропетровській області Анжеліці Тютюнник, яка отримала $31 тис хабара.","{'головному спеціалісту відділу контролю за використанням та охорони земель': 'JOB', 'Олександру Тютюннику': 'PERS'}",Правильне,,Тарас Я.
В подальшому Тютюнник пообіцяв директору ПТ «АЯКС» Анатолію Лейку за $31 тис (813 тис грн.) неправомірної вигоди вплинути на начальника відділу у Верхньодніпровському районі ГУ облДержгеокадастру та інших посадових осіб щодо поновлення договорів оренди двох ділянок у с. Заполички.,В подальшому Тютюнниця пообіцяла директорці ПТ «АЯКС» Галина Лейко за $31 тис (813 тис грн.) неправомірної вигоди вплинути на начальницю відділу у Верхньодніпровському районі ГУ облДержгеокадастру та інших посадових осіб щодо поновлення договорів оренди двох ділянок у с. Заполички.,"{'Тютюнник': 'PERS', 'директору': 'JOB', 'Анатолію Лейку': 'PERS', 'начальника відділу': 'JOB'}",Містить помилки,В подальшому Тютюнник пообіцяв директорці ПТ «АЯКС» Галині Лейко за $31 тис (813 тис грн.) неправомірної вигоди вплинути на начальницю відділу у Верхньодніпровському районі ГУ облДержгеокадастру та інших посадових осіб щодо поновлення договорів оренди двох ділянок у с. Заполички.,
"У січні цього року чиновник у салоні автомобіля «Mitsubishi Pajero», на автопарковці автозаправної станції «ОККО» у м. Дніпрі отримав $31 тис хабара.","У січні цього року чиновниця у салоні автомобіля «Mitsubishi Pajero», на автопарковці автозаправної станції «ОККО» у м. Дніпрі отримала $31 тис хабара.",{'чиновник': 'JOB'},Правильне,,
"Суд врахував, що Тютюнник характеризується позитивно, на обліку у лікарів психіатра і нарколога не перебуває, має на утриманні малолітню дитину, визнав вину та щиро розкаявся і призначив йому штраф у розмірі 25,5 тис грн.","Суд врахував, що Тютюнниця характеризується позитивно, на обліку у лікарів психіатрки і наркологині не перебуває, має на утриманні малолітню дитину, визнав вину та щиро розкаявся і призначив їй штраф у розмірі 25,5 тис грн.","{'Тютюнник': 'PERS', 'психіатра': 'JOB', 'нарколога': 'JOB'}",Містить помилки,"Суд врахував, що Тютюнник характеризується позитивно, на обліку у лікарів психіатрині і наркологині не перебуває, має на утриманні малолітню дитину, визнала вину та щиро розкаялась і призначив йому штраф у розмірі 25,5 тис грн.",
Міністерство оборони України визначило ТОВ «Київ-Інстал» переможцем конкурсу на добудову житлового будинку для військовослужбовців в Кіровограді.,Міністерство оборони України визначило ТОВ «Київ-Інстал» переможцем конкурсу на добудову житлового будинку для військовослужбовців в Кіровограді.,{'військовослужбовців': 'JOB'},Містить помилки,Міністерство оборони України визначило ТОВ «Київ-Інстал» переможцем конкурсу на добудову житлового будинку для військовослужбовиць в Кіровограді.,
